DG	reads#	left_arm	right_arm	left_loc	right_loc	min_L_pos	min_R_pos	min_distance	5ssnt_L_pos	5ssnt_R_pos	5ssnt_distance
5.8S,5.8S,0	51	6620-6638	6642-6658	core	core	6623	6654	13.309491157531738	6634	6655	23.411741256713867
5.8S,5.8S,1	46	6620-6647	6685-6705	core	core	6637	6705	8.046113967895508	6641	6702	10.276552200317383
5.8S,5.8S,2	26	6689-6713	6734-6756	core	core	6705	6737	8.096907615661621	6708	6750	48.98371505737305
18S,28S,0	18	3761-3799	12434-12455	expansion	core	3772	12434	84.41191101074219	3797	12451	117.7016372680664
18S,28S,4	15	3763-3795	9544-9579	expansion	core	3768	9554	92.61885070800781	3793	9577	161.25421142578125
18S,28S,5	12	5369-5425	12244-12275	expansion	core	5373	12260	78.84347534179688	NA	NA	NA
18S,28S,6	11	3757-3797	11535-11568	expansion	core	3768	11535	41.15494918823242	3794	11564	126.5155029296875
18S,28S,10	14	4599-4626	11611-11640	core	core	4624	11633	7.080953121185303	4623	11635	13.240110397338867
18S,28S,11	14	5353-5376	10274-10290	core	core	5373	10290	58.96560287475586	5373	10287	61.653167724609375
18S,28S,12	10	3761-3800	11867-11897	expansion	expansion	3763	11870	136.6272430419922	3797	11894	219.73951721191406
18S,28S,13	10	3761-3800	11725-11755	expansion	core	3763	11748	66.12104797363281	3797	11749	105.5855484008789
28S,5.8S,0	194	6707-6727	10455-10473	core	expansion	6726	10468	7.122175216674805	6723	10468	8.747515678405762
28S,5.8S,1	29	6708-6728	10394-10428	core	expansion	6725	10417	2.9093544483184814	6726	10426	30.786252975463867
28S,5.8S,3	69	6688-6707	7940-7984	core	core	6703	7944	3.276484251022339	6703	7980	19.119850158691406
28S,5.8S,4	12	6694-6716	7925-7947	core	core	6703	7944	3.276484251022339	6711	7944	25.565553665161133
28S,5.8S,10	18	6612-6633	8275-8326	core	core	6623	8284	6.973906517028809	NA	NA	NA
28S,5.8S,16	55	6703-6727	8860-8892	core	expansion	6703	8881	104.79917907714844	6722	8886	140.27288818359375
28S,5.8S,17	17	6689-6706	8229-8269	core	core	6702	8265	20.435550689697266	6702	8265	20.435550689697266
28S,5.8S,19	12	6708-6727	11465-11511	core	expansion	6727	11510	73.75813293457031	NA	NA	NA
28S,5.8S,20	13	6708-6727	12434-12448	core	core	6709	12447	64.16655731201172	6722	12446	97.36783599853516
18S,18S,0	112	4329-4348	4384-4401	core	expansion	4342	4396	9.023836135864258	4342	4396	9.023836135864258
18S,18S,1	28	4358-4399	4444-4454	expansion	expansion	4397	4452	18.02049446105957	4397	4452	18.02049446105957
18S,18S,2	18	4288-4335	4372-4400	core	expansion	4315	4389	36.668540954589844	4333	4397	45.6801872253418
18S,18S,3	12	4400-4423	4427-4452	expansion	expansion	4403	4449	10.214366912841797	NA	NA	NA
18S,18S,4	12	4248-4289	4314-4338	core	core	4274	4322	24.046117782592773	4285	4333	66.20858764648438
18S,18S,5	10	4287-4311	4508-4531	core	expansion	4309	4508	35.86095428466797	4309	4525	68.57040405273438
18S,18S,24	35	4948-4983	5143-5164	expansion	core	4977	5159	9.488359451293945	4977	5159	9.488359451293945
18S,18S,25	33	4986-5017	5055-5066	core	expansion	4996	5058	44.14828109741211	5015	5063	75.01966857910156
