DG	reads#	left_arm	right_arm	left_loc	right_loc	min_L_pos	min_R_pos	min_distance	5ssnt_L_pos	5ssnt_R_pos	5ssnt_distance
28S,28S,1	30	4391-4412	4532-4563	core	core	4398	4549	12.108551025390625	4407	4557	38.85255432128906
28S,28S,2	27	4389-4419	4510-4535	core	core	4400	4519	4.818309307098389	4415	4530	53.14805221557617
28S,28S,3	25	4422-4446	4485-4507	core	core	4439	4503	8.643013000488281	4442	4503	26.27618980407715
28S,28S,4	23	4543-4578	4627-4653	core	core	4560	4635	35.16392517089844	4572	4651	71.1786880493164
28S,28S,6	16	4503-4526	4532-4574	core	core	4523	4557	6.128378868103027	4524	4571	32.572242736816406
28S,28S,23	40	3612-3653	3686-3703	core	core	3653	3692	9.054561614990234	3649	3698	25.97495460510254
28S,28S,25	32	3600-3616	3820-3843	core	core	3616	3837	26.46885871887207	3612	3837	38.787025451660156
28S,28S,29	17	3733-3753	3787-3820	core	core	3748	3818	5.7620015144348145	3748	3818	5.7620015144348145
28S,28S,30	14	3625-3650	3733-3759	core	core	3636	3748	24.181732177734375	NA	NA	NA
28S,28S,43	141	1700-1723	1790-1808	expansion	expansion	1721	1805	9.67566204071045	1721	1805	9.67566204071045
28S,28S,44	80	1700-1723	1821-1840	expansion	expansion	1720	1835	5.51344633102417	1720	1835	5.51344633102417
28S,28S,45	32	1642-1675	1875-1894	core	core	1668	1882	10.882092475891113	1671	1892	18.748146057128906
28S,28S,57	13	3837-3864	4558-4580	core	core	3863	4561	11.413567543029785	3860	4574	42.75205612182617
28S,28S,58	11	3895-3913	4492-4532	core	core	3898	4524	7.198777675628662	3910	4530	16.51167869567871
28S,28S,65	29	4179-4196	4337-4382	core	core	4190	4381	2.9740424156188965	4190	4380	7.815947532653809
28S,28S,66	16	4179-4200	4316-4344	core	core	4190	4342	22.75217628479004	4195	4338	30.109962463378906
28S,28S,77	47	4973-5008	5023-5050	expansion	core	5007	5041	4.312780857086182	5003	5047	8.109789848327637
28S,28S,79	14	4935-4969	4977-4994	core	expansion	4966	4989	18.86090660095215	4966	4989	18.86090660095215
